MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,Remodeled,RecentRemodel,NewHouse,HouseAge,TimeSinceSold,YearSinceRemodel,HighSeason,TotalArea,HasLowQualArea,HasBasement,HasGarage,Has2ndFloor,HasMasVnr,HasWoodDeck,HasOpenPorch,HasScreenPorch,HasEnclosedPorch,Has3SsnPorch,HasPool,NbrhRich,SalePrice
SC60,RL,65.0,8450,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gd,TA,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,RFn,548,TA,TA,Y,0,61,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,14,9,5,0,14452.0,0,1,1,1,1,0,1,0,0,0,0,0,208500
SC20,RL,80.0,9600,Pave,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,AA,Vg,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,460,TA,TA,Y,298,0,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,41,10,31,1,15486.0,0,1,1,0,0,1,0,0,0,0,0,1,181500
SC60,RL,68.0,11250,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gd,TA,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,608,TA,TA,Y,0,42,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,16,9,6,0,17542.0,0,1,1,1,1,0,1,0,0,0,0,0,223500
SC70,RL,60.0,9550,Pave,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gd,TA,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,642,TA,TA,Y,0,35,272,0,0,0,None,None,None,0,WD,Abnorml,1,0,0,102,11,36,0,15505.0,0,1,1,1,0,0,1,0,1,0,0,0,140000
SC60,RL,84.0,14260,Pave,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,836,TA,TA,Y,192,84,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,17,9,8,0,22492.0,0,1,1,1,1,1,1,0,0,0,0,1,250000
SC50,RL,85.0,14115,Pave,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,TA,TA,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,0,1362,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,Unf,480,TA,TA,Y,40,30,0,320,0,0,None,MnPrv,Shed,700,WD,Normal,1,0,0,24,8,14,0,19386.0,0,1,1,1,0,1,1,0,0,1,0,0,143000
SC20,RL,75.0,10084,Pave,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,636,TA,TA,Y,255,57,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,13,10,2,0,18053.0,0,1,1,0,1,1,1,0,0,0,0,1,307000
SC60,RL,81.28888888888889,10382,Pave,None,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gd,AA,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,484,TA,TA,Y,235,204,228,0,0,0,None,None,Shed,350,WD,Normal,0,0,0,44,8,36,0,18248.28888888889,0,1,1,1,1,1,1,0,1,0,0,0,200000
SC50,RM,51.0,6120,Pave,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gd,TA,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,468,Fa,TA,Y,90,0,205,0,0,0,None,None,None,0,WD,Abnorml,1,0,0,86,9,58,0,12386.0,0,1,1,1,0,1,0,0,1,0,0,0,129900
SC190,RL,50.0,7420,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,TA,AA,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,205,Gd,TA,Y,0,4,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,78,9,58,0,11815.0,0,1,1,0,0,0,1,0,0,0,0,0,118000
